Date : 2021-10-15 22:07:57
Directory : d:\Yazilim\Flutter\Dodact\dodact_v1
Total : 242 files,  24370 codes, 1471 comments, 2278 blanks, all 28119 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| lib\services\concrete                                                                                                 |         23 |      1,313 |        114 |        277 |      1,704 |
| lib\ui                                                                                                                |        113 |     15,339 |        743 |      1,161 |     17,243 |
| lib\ui\auth                                                                                                           |          7 |      1,344 |         20 |         85 |      1,449 |
| lib\ui\auth\signup                                                                                                    |          4 |        835 |          8 |         53 |        896 |
| lib\ui\auth\signup\components                                                                                         |          2 |         68 |          0 |          6 |         74 |
| lib\ui\auth\signup\signup_detail                                                                                      |          1 |        444 |          7 |         34 |        485 |
| lib\ui\common                                                                                                         |         10 |        362 |          1 |         40 |        403 |
| lib\ui\common\screens                                                                                                 |          3 |         72 |          1 |          8 |         81 |
| lib\ui\common\widgets                                                                                                 |          7 |        290 |          0 |         32 |        322 |
| lib\ui\creation                                                                                                       |          3 |      1,531 |         78 |        119 |      1,728 |
| lib\ui\creation\subpages                                                                                              |          2 |      1,357 |         77 |        108 |      1,542 |
| lib\ui\detail                                                                                                         |         12 |      1,184 |         56 |        115 |      1,355 |
| lib\ui\detail\widgets                                                                                                 |          9 |        784 |         39 |         75 |        898 |
| lib\ui\detail\widgets\post                                                                                            |          9 |        784 |         39 |         75 |        898 |
| lib\ui\detail\widgets\post\post_comments                                                                              |          2 |        339 |          3 |         27 |        369 |
| lib\ui\detail\widgets\post\post_headers                                                                               |          5 |        252 |          7 |         29 |        288 |
| lib\ui\detail\widgets\post\post_headers\audio_player                                                                  |          2 |        170 |          7 |         18 |        195 |
| lib\ui\discover                                                                                                       |          6 |        416 |        215 |         58 |        689 |
| lib\ui\discover\widgets                                                                                               |          5 |        330 |        213 |         51 |        594 |
| lib\ui\discover\widgets\story_components                                                                              |          1 |          0 |         72 |          9 |         81 |
| lib\ui\event                                                                                                          |          5 |      1,352 |         48 |        134 |      1,534 |
| lib\ui\event\widgets                                                                                                  |          2 |        558 |         40 |         82 |        680 |
| lib\ui\general                                                                                                        |         12 |      1,001 |         63 |         76 |      1,140 |
| lib\ui\general\subpages                                                                                               |          3 |        528 |          2 |         43 |        573 |
| lib\ui\general\widgets                                                                                                |          8 |        282 |         60 |         27 |        369 |
| lib\ui\group                                                                                                          |         14 |      1,637 |        162 |        121 |      1,920 |
| lib\ui\group\screens                                                                                                  |          3 |        590 |         92 |         49 |        731 |
| lib\ui\group\subpages                                                                                                 |          6 |        843 |         70 |         59 |        972 |
| lib\ui\group\widgets                                                                                                  |          5 |        204 |          0 |         13 |        217 |
| lib\ui\interest                                                                                                       |          6 |      1,230 |         10 |         82 |      1,322 |
| lib\ui\onboarding                                                                                                     |          1 |         96 |          2 |          3 |        101 |
| lib\ui\profile                                                                                                        |         34 |      4,552 |         75 |        289 |      4,916 |
| lib\ui\profile\screens                                                                                                |         19 |      3,034 |         33 |        189 |      3,256 |
| lib\ui\profile\screens\chatrooms                                                                                      |          2 |        369 |          5 |         29 |        403 |
| lib\ui\profile\screens\drawer_pages                                                                                   |         12 |      2,136 |         21 |        111 |      2,268 |
| lib\ui\profile\screens\drawer_pages\subpages                                                                          |          6 |      1,618 |         14 |         75 |      1,707 |
| lib\ui\profile\screens\notifications                                                                                  |          3 |        291 |          2 |         30 |        323 |
| lib\ui\profile\screens\notifications\invitations                                                                      |          1 |        145 |          0 |         17 |        162 |
| lib\ui\profile\widgets                                                                                                |         15 |      1,518 |         42 |        100 |      1,660 |
| lib\ui\profile\widgets\others_profile                                                                                 |          6 |        669 |          8 |         43 |        720 |
| lib\ui\profile\widgets\user_profile                                                                                   |          7 |        653 |         23 |         43 |        719 |
| lib\ui\search                                                                                                         |          1 |        337 |          4 |         15 |        356 |
| lib\utilities                                                                                                         |          5 |      1,123 |         35 |         32 |      1,190 |
| lib\utilities\error_handlers                                                                                          |          1 |        145 |          3 |          6 |        154 |
| test                                                                                                                  |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                                   |          2 |        102 |         14 |          7 |        123 |
| yedekler                                                                                                              |          2 |          0 |        275 |          0 |        275 |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                              | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\Yazilim\Flutter\Dodact\dodact_v1\.runtimeconfig.json                                                               | JSON       |          3 |          0 |          0 |          3 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\README.md                                                                         | Markdown   |         10 |          0 |          7 |         17 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\android\app\build.gradle                                                          | Groovy     |         60 |          3 |         16 |         79 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\android\app\google-services.json                                                  | JSON       |         78 |          0 |          0 |         78 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\android\app\src\debug\AndroidManifest.xml                                         | XML        |          4 |          3 |          1 |          8 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\android\app\src\main\AndroidManifest.xml                                          | XML        |         43 |         11 |          8 |         62 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\android\app\src\main\res\drawable-v21\launch_background.xml                       | XML        |          9 |          0 |          0 |          9 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\android\app\src\main\res\drawable\launch_background.xml                           | XML        |          9 |          0 |          0 |          9 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\android\app\src\main\res\values-night\styles.xml                                  | XML        |         10 |          9 |          0 |         19 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\android\app\src\main\res\values\styles.xml                                        | XML        |         10 |          9 |          0 |         19 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\android\app\src\profile\AndroidManifest.xml                                       | XML        |          4 |          3 |          1 |          8 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\android\build.gradle                                                              | Groovy     |         30 |          0 |          5 |         35 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\android\gradle.properties                                                         | Properties |          3 |          0 |          1 |          4 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\android\gradle\wrapper\gradle-wrapper.properties                                  | Properties |          5 |          1 |          1 |          7 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\android\settings.gradle                                                           | Groovy     |          8 |          0 |          4 |         12 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\android\settings_aar.gradle                                                       | Groovy     |          1 |          0 |          1 |          2 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\arsiv.dart                                                                        | Dart       |         31 |          3 |          2 |         36 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\assets\images\app\situations\undraw_blank_canvas_3rbb.svg                         | XML        |          1 |          0 |          0 |          1 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\assets\images\app\situations\undraw_not_found_60pq.svg                            | XML        |          1 |          0 |          0 |          1 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\firebase.json                                                                     | JSON       |         19 |          0 |          1 |         20 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\flutter_native_splash.yaml                                                        | YAML       |          3 |         59 |         11 |         73 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\functions\index.js                                                                | JavaScript |        307 |         29 |         95 |        431 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\functions\package-lock.json                                                       | JSON       |      1,813 |          0 |          1 |      1,814 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\functions\package.json                                                            | JSON       |         24 |          0 |          1 |         25 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\functions\welcome.html                                                            | HTML       |         84 |          9 |          9 |        102 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\ios\Runner\AppDelegate.swift                                                      | Swift      |         12 |          0 |          2 |         14 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json                       | JSON       |        122 |          0 |          1 |        123 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\ios\Runner\Assets.xcassets\LaunchBackground.imageset\Contents.json                | JSON       |         21 |          0 |          1 |         22 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json                     | JSON       |         23 |          0 |          1 |         24 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md                         | Markdown   |          3 |          0 |          2 |          5 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\ios\Runner\Base.lproj\LaunchScreen.storyboard                                     | XML        |         43 |          1 |          0 |         44 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\ios\Runner\Base.lproj\Main.storyboard                                             | XML        |         25 |          1 |          1 |         27 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\ios\Runner\Runner-Bridging-Header.h                                               | C++        |          1 |          0 |          1 |          2 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\launch.json                                                                       | JSON       |          8 |          0 |          0 |          8 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\common\methods.dart                                                           | Dart       |         81 |          1 |         11 |         93 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\config\base\base_service.dart                                                 | Dart       |          9 |          0 |          1 |         10 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\config\base\base_state.dart                                                   | Dart       |         28 |          3 |         13 |         44 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\config\constants\app_constants.dart                                           | Dart       |          2 |          0 |          1 |          3 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\config\constants\firebase_constants.dart                                      | Dart       |         22 |          0 |          3 |         25 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\config\constants\providers_list.dart                                          | Dart       |         29 |          0 |          2 |         31 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\config\constants\route_constants.dart                                         | Dart       |         55 |          4 |         14 |         73 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\config\constants\theme_constants.dart                                         | Dart       |         61 |          4 |         16 |         81 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\config\navigation\navigation_service.dart                                     | Dart       |         32 |          0 |         12 |         44 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\config\navigation\navigator_route_service.dart                                | Dart       |        232 |          9 |         48 |        289 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\config\navigation\routes.dart                                                 | Dart       |          0 |          0 |          1 |          1 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\locator.dart                                                                  | Dart       |         44 |          0 |         13 |         57 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\main.dart                                                                     | Dart       |         82 |         16 |         12 |        110 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\announcement_model.dart                                                 | Dart       |         30 |          0 |          4 |         34 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\chatroom_model.dart                                                     | Dart       |         19 |          0 |          5 |         24 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\cities.dart                                                             | Dart       |         84 |          1 |          2 |         87 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\comment_model.dart                                                      | Dart       |         21 |          0 |          5 |         26 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\community_model.dart                                                    | Dart       |          1 |          0 |          0 |          1 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\contribution_model.dart                                                 | Dart       |         43 |          3 |          9 |         55 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\date_model.dart                                                         | Dart       |          4 |          0 |          1 |          5 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\dodcoin_model.dart                                                      | Dart       |         20 |          3 |          8 |         31 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\dodder_model.dart                                                       | Dart       |         20 |          3 |          9 |         32 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\event_model.dart                                                        | Dart       |        100 |          0 |          7 |        107 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\group_model.dart                                                        | Dart       |         65 |          1 |          7 |         73 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\invitation_model.dart                                                   | Dart       |         30 |          7 |          8 |         45 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\message_model.dart                                                      | Dart       |         31 |          0 |          5 |         36 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\notification_mdel.dart                                                  | Dart       |         45 |          3 |          8 |         56 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\podcast_model.dart                                                      | Dart       |         43 |          3 |          9 |         55 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\post_model.dart                                                         | Dart       |         87 |          0 |          7 |         94 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\spinner_result_model.dart                                               | Dart       |         33 |          3 |          9 |         45 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\story_model.dart                                                        | Dart       |         21 |          0 |          5 |         26 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\user_model.dart                                                         | Dart       |        136 |          4 |         20 |        160 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\youtube_video_model.dart                                                | Dart       |         47 |          0 |          7 |         54 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\provider\announcement_provider.dart                                           | Dart       |         65 |          1 |         13 |         79 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\provider\auth_provider.dart                                                   | Dart       |        232 |         10 |         31 |        273 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\provider\chatroom_provider.dart                                               | Dart       |         69 |          0 |         10 |         79 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\provider\collections_provider.dart                                            | Dart       |          0 |          0 |          1 |          1 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\provider\comment_provider.dart                                                | Dart       |         42 |          0 |          7 |         49 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\provider\contribution_provider.dart                                           | Dart       |         60 |          0 |          9 |         69 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\provider\event_provider.dart                                                  | Dart       |        168 |          5 |         21 |        194 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\provider\group_provider.dart                                                  | Dart       |        222 |          6 |         26 |        254 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\provider\invitation_provider.dart                                             | Dart       |         95 |          4 |         15 |        114 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\provider\notification_provider.dart                                           | Dart       |          2 |          0 |          2 |          4 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\provider\podcast_provider.dart                                                | Dart       |         29 |          0 |          5 |         34 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\provider\post_provider.dart                                                   | Dart       |        188 |          8 |         28 |        224 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\provider\user_favorites_provider.dart                                         | Dart       |          4 |          1 |          3 |          8 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\provider\user_provider.dart                                                   | Dart       |        103 |          0 |         14 |        117 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\repository\announcement_repository.dart                                       | Dart       |         47 |          1 |         11 |         59 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\repository\auth_repository.dart                                               | Dart       |        108 |          2 |         17 |        127 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\repository\event_repository.dart                                              | Dart       |         81 |          1 |         14 |         96 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\repository\group_repository.dart                                              | Dart       |        134 |          0 |         20 |        154 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\repository\interest_repository.dart                                           | Dart       |          0 |          0 |          1 |          1 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\repository\invitation_repository.dart                                         | Dart       |         64 |          0 |         11 |         75 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\repository\podcast_repository.dart                                            | Dart       |         21 |          0 |          6 |         27 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\repository\post_repository.dart                                               | Dart       |        111 |          1 |         19 |        131 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\repository\user_favorites_repository.dart                                     | Dart       |         26 |          0 |          7 |         33 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\repository\user_repository.dart                                               | Dart       |         60 |         28 |         13 |        101 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\abstract\auth_base.dart                                              | Dart       |         14 |          1 |          2 |         17 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\abstract\database_base.dart                                          | Dart       |          9 |          0 |          2 |         11 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\abstract\storage_base.dart                                           | Dart       |          0 |          0 |          1 |          1 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\dynamic_link_service.dart                                   | Dart       |          0 |          0 |          1 |          1 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\fake_auth_service.dart                                      | Dart       |         57 |          0 |         13 |         70 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\firebase_announcement_service.dart                          | Dart       |         41 |          0 |          8 |         49 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\firebase_auth_service.dart                                  | Dart       |        124 |          4 |         23 |        151 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\firebase_chatroom_service.dart                              | Dart       |         82 |          0 |         16 |         98 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\firebase_comment_service.dart                               | Dart       |         32 |          0 |          8 |         40 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\firebase_contribution_service.dart                          | Dart       |         37 |          0 |         10 |         47 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\firebase_dodcoin_service.dart                               | Dart       |         12 |          0 |          3 |         15 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\firebase_event_service.dart                                 | Dart       |        139 |          3 |         22 |        164 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\firebase_group_service.dart                                 | Dart       |        109 |          2 |         19 |        130 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\firebase_invitations_service.dart                           | Dart       |         88 |          5 |         15 |        108 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\firebase_podcast_service.dart                               | Dart       |         21 |          0 |          4 |         25 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\firebase_post_service.dart                                  | Dart       |        136 |          7 |         37 |        180 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\firebase_remote_config_service.dart                         | Dart       |         49 |          0 |          8 |         57 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\firebase_report_service.dart                                | Dart       |         54 |          0 |          6 |         60 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\firebase_spinner_service.dart                               | Dart       |         66 |          1 |          5 |         72 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\firebase_story_service.dart                                 | Dart       |         11 |          0 |          2 |         13 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\firebase_user_favorites_service.dart                        | Dart       |         27 |          3 |          6 |         36 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\firebase_user_service.dart                                  | Dart       |         54 |          2 |         11 |         67 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\network_status_service.dart                                 | Dart       |         18 |          0 |          6 |         24 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\push_notification_service.dart                              | Dart       |          0 |         25 |          7 |         32 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\upload_service.dart                                         | Dart       |         96 |         59 |         30 |        185 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\youtube_video_validator.dart                                | Dart       |         60 |          3 |         17 |         80 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\auth\forgot_password.dart                                                  | Dart       |        165 |          3 |         13 |        181 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\auth\login_page.dart                                                       | Dart       |        259 |          9 |         15 |        283 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\auth\signup\components\or_dividers.dart                                    | Dart       |         36 |          0 |          3 |         39 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\auth\signup\components\social_icon.dart                                    | Dart       |         32 |          0 |          3 |         35 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\auth\signup\signup_detail\signup_detail.dart                               | Dart       |        444 |          7 |         34 |        485 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\auth\signup\signup_page.dart                                               | Dart       |        323 |          1 |         13 |        337 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\auth\welcome_page.dart                                                     | Dart       |         85 |          0 |          4 |         89 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\common\screens\about_dodact_page.dart                                      | Dart       |         42 |          0 |          4 |         46 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\common\screens\no_internet_page.dart                                       | Dart       |         16 |          1 |          2 |         19 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\common\screens\privacy_policy_page.dart                                    | Dart       |         14 |          0 |          2 |         16 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\common\widgets\custom_button.dart                                          | Dart       |         32 |          0 |          4 |         36 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\common\widgets\custom_dialog_box.dart                                      | Dart       |         91 |          0 |          7 |         98 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\common\widgets\network_aware_widget.dart                                   | Dart       |         18 |          0 |          5 |         23 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\common\widgets\rounded_button.dart                                         | Dart       |         36 |          0 |          6 |         42 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\common\widgets\rounded_input_field.dart                                    | Dart       |         41 |          0 |          4 |         45 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\common\widgets\rounded_password_field.dart                                 | Dart       |         33 |          0 |          3 |         36 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\common\widgets\text_field_container.dart                                   | Dart       |         39 |          0 |          3 |         42 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\creation\creation_page.dart                                                | Dart       |        174 |          1 |         11 |        186 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\creation\subpages\event_creation_page.dart                                 | Dart       |        710 |         14 |         50 |        774 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\creation\subpages\post_creation_page.dart                                  | Dart       |        647 |         63 |         58 |        768 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\detail\about_dodact.dart                                                   | Dart       |          7 |          0 |          2 |          9 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\detail\podcast_detail.dart                                                 | Dart       |        113 |         13 |          8 |        134 |
