"filename", "language", "JSON", "HTML", "YAML", "Dart", "Markdown", "Swift", "C++", "XML", "JavaScript", "Groovy", "Properties", "comment", "blank", "total"
"d:\Yazilim\Flutter\Dodact\dodact_v1\functions\package.json", "JSON", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"d:\Yazilim\Flutter\Dodact\dodact_v1\functions\welcome.html", "HTML", 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 102
"d:\Yazilim\Flutter\Dodact\dodact_v1\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\Yazilim\Flutter\Dodact\dodact_v1\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"d:\Yazilim\Flutter\Dodact\dodact_v1\ios\Runner\Assets.xcassets\LaunchBackground.imageset\Contents.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"d:\Yazilim\Flutter\Dodact\dodact_v1\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"d:\Yazilim\Flutter\Dodact\dodact_v1\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\Yazilim\Flutter\Dodact\dodact_v1\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 1, 0, 44
"d:\Yazilim\Flutter\Dodact\dodact_v1\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 1, 27
"d:\Yazilim\Flutter\Dodact\dodact_v1\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"d:\Yazilim\Flutter\Dodact\dodact_v1\launch.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\common\methods.dart", "Dart", 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 1, 11, 93
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\config\base\base_service.dart", "Dart", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\config\base\base_state.dart", "Dart", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 3, 13, 44
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\config\constants\app_constants.dart", "Dart", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\config\constants\firebase_constants.dart", "Dart", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\config\constants\providers_list.dart", "Dart", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 2, 31
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\config\constants\route_constants.dart", "Dart", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 4, 14, 73
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\config\constants\theme_constants.dart", "Dart", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 4, 16, 81
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\config\navigation\navigation_service.dart", "Dart", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 12, 44
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\config\navigation\navigator_route_service.dart", "Dart", 0, 0, 0, 232, 0, 0, 0, 0, 0, 0, 0, 9, 48, 289
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\config\navigation\routes.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\locator.dart", "Dart", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 13, 57
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\main.dart", "Dart", 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 16, 12, 110
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\announcement_model.dart", "Dart", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 34
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\chatroom_model.dart", "Dart", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\cities.dart", "Dart", 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 1, 2, 87
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\comment_model.dart", "Dart", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\community_model.dart", "Dart", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\contribution_model.dart", "Dart", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 3, 9, 55
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\date_model.dart", "Dart", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\dodcoin_model.dart", "Dart", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 3, 8, 31
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\dodder_model.dart", "Dart", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 3, 9, 32
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\event_model.dart", "Dart", 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 7, 107
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\group_model.dart", "Dart", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 1, 7, 73
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\invitation_model.dart", "Dart", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 7, 8, 45
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\message_model.dart", "Dart", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 5, 36
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\notification_mdel.dart", "Dart", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 3, 8, 56
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\podcast_model.dart", "Dart", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 3, 9, 55
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\post_model.dart", "Dart", 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 7, 94
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\spinner_result_model.dart", "Dart", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 3, 9, 45
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\story_model.dart", "Dart", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\user_model.dart", "Dart", 0, 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 4, 20, 160
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\youtube_video_model.dart", "Dart", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 7, 54
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\provider\announcement_provider.dart", "Dart", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 1, 13, 79
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\provider\auth_provider.dart", "Dart", 0, 0, 0, 232, 0, 0, 0, 0, 0, 0, 0, 10, 31, 273
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\provider\chatroom_provider.dart", "Dart", 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 10, 79
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\provider\collections_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\provider\comment_provider.dart", "Dart", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 7, 49
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\provider\contribution_provider.dart", "Dart", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 9, 69
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\provider\event_provider.dart", "Dart", 0, 0, 0, 168, 0, 0, 0, 0, 0, 0, 0, 5, 21, 194
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\provider\group_provider.dart", "Dart", 0, 0, 0, 222, 0, 0, 0, 0, 0, 0, 0, 6, 26, 254
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\provider\invitation_provider.dart", "Dart", 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 4, 15, 114
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\provider\notification_provider.dart", "Dart", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\provider\podcast_provider.dart", "Dart", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 5, 34
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\provider\post_provider.dart", "Dart", 0, 0, 0, 188, 0, 0, 0, 0, 0, 0, 0, 8, 28, 224
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\provider\user_favorites_provider.dart", "Dart", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 3, 8
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\provider\user_provider.dart", "Dart", 0, 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 14, 117
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\repository\announcement_repository.dart", "Dart", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 1, 11, 59
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\repository\auth_repository.dart", "Dart", 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 2, 17, 127
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\repository\event_repository.dart", "Dart", 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 1, 14, 96
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\repository\group_repository.dart", "Dart", 0, 0, 0, 134, 0, 0, 0, 0, 0, 0, 0, 0, 20, 154
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\repository\interest_repository.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\repository\invitation_repository.dart", "Dart", 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 11, 75
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\repository\podcast_repository.dart", "Dart", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\repository\post_repository.dart", "Dart", 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 1, 19, 131
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\repository\user_favorites_repository.dart", "Dart", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 7, 33
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\repository\user_repository.dart", "Dart", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 28, 13, 101
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\abstract\auth_base.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 2, 17
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\abstract\database_base.dart", "Dart", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\abstract\storage_base.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\dynamic_link_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\fake_auth_service.dart", "Dart", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 13, 70
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\firebase_announcement_service.dart", "Dart", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 8, 49
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\firebase_auth_service.dart", "Dart", 0, 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 4, 23, 151
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\firebase_chatroom_service.dart", "Dart", 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 16, 98
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\firebase_comment_service.dart", "Dart", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 8, 40
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\firebase_contribution_service.dart", "Dart", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 10, 47
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\firebase_dodcoin_service.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\firebase_event_service.dart", "Dart", 0, 0, 0, 139, 0, 0, 0, 0, 0, 0, 0, 3, 22, 164
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\firebase_group_service.dart", "Dart", 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 2, 19, 130
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\firebase_invitations_service.dart", "Dart", 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 5, 15, 108
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\firebase_podcast_service.dart", "Dart", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\firebase_post_service.dart", "Dart", 0, 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 7, 37, 180
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\firebase_remote_config_service.dart", "Dart", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 8, 57
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\firebase_report_service.dart", "Dart", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 6, 60
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\firebase_spinner_service.dart", "Dart", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 1, 5, 72
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\firebase_story_service.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\firebase_user_favorites_service.dart", "Dart", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 3, 6, 36
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\firebase_user_service.dart", "Dart", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 2, 11, 67
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\network_status_service.dart", "Dart", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\push_notification_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 7, 32
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\upload_service.dart", "Dart", 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 59, 30, 185
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\youtube_video_validator.dart", "Dart", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 3, 17, 80
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\auth\forgot_password.dart", "Dart", 0, 0, 0, 165, 0, 0, 0, 0, 0, 0, 0, 3, 13, 181
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\auth\login_page.dart", "Dart", 0, 0, 0, 259, 0, 0, 0, 0, 0, 0, 0, 9, 15, 283
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\auth\signup\components\or_dividers.dart", "Dart", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 3, 39
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\auth\signup\components\social_icon.dart", "Dart", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 3, 35
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\auth\signup\signup_detail\signup_detail.dart", "Dart", 0, 0, 0, 444, 0, 0, 0, 0, 0, 0, 0, 7, 34, 485
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\auth\signup\signup_page.dart", "Dart", 0, 0, 0, 323, 0, 0, 0, 0, 0, 0, 0, 1, 13, 337
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\auth\welcome_page.dart", "Dart", 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 4, 89
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\common\screens\about_dodact_page.dart", "Dart", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 4, 46
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\common\screens\no_internet_page.dart", "Dart", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 1, 2, 19
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\common\screens\privacy_policy_page.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\common\widgets\custom_button.dart", "Dart", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\common\widgets\custom_dialog_box.dart", "Dart", 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 7, 98
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\common\widgets\network_aware_widget.dart", "Dart", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\common\widgets\rounded_button.dart", "Dart", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 6, 42
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\common\widgets\rounded_input_field.dart", "Dart", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 4, 45
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\common\widgets\rounded_password_field.dart", "Dart", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 3, 36
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\common\widgets\text_field_container.dart", "Dart", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 3, 42
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\creation\creation_page.dart", "Dart", 0, 0, 0, 174, 0, 0, 0, 0, 0, 0, 0, 1, 11, 186
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\creation\subpages\event_creation_page.dart", "Dart", 0, 0, 0, 710, 0, 0, 0, 0, 0, 0, 0, 14, 50, 774
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\creation\subpages\post_creation_page.dart", "Dart", 0, 0, 0, 647, 0, 0, 0, 0, 0, 0, 0, 63, 58, 768
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\detail\about_dodact.dart", "Dart", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\detail\podcast_detail.dart", "Dart", 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 13, 8, 134
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\detail\post_detail.dart", "Dart", 0, 0, 0, 280, 0, 0, 0, 0, 0, 0, 0, 4, 30, 314
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\detail\widgets\post\post_comments\post_comment_tile.dart", "Dart", 0, 0, 0, 158, 0, 0, 0, 0, 0, 0, 0, 0, 12, 170
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\detail\widgets\post\post_comments\post_detail_comments_part.dart", "Dart", 0, 0, 0, 181, 0, 0, 0, 0, 0, 0, 0, 3, 15, 199
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\detail\widgets\post\post_description_card.dart", "Dart", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 27, 5, 57
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\detail\widgets\post\post_detail_info_part.dart", "Dart", 0, 0, 0, 168, 0, 0, 0, 0, 0, 0, 0, 2, 14, 184
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\detail\widgets\post\post_headers\audio_player\audio_player_widget.dart", "Dart", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 2, 9, 59
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\detail\widgets\post\post_headers\audio_player\player_buttons.dart", "Dart", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 5, 9, 136
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\detail\widgets\post\post_headers\audio_post_header.dart", "Dart", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\detail\widgets\post\post_headers\image_post_header.dart", "Dart", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 4, 43
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\detail\widgets\post\post_headers\video_post_header.dart", "Dart", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\discover\discover_page.dart", "Dart", 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 2, 7, 95
